"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"24","GB46890",7,6,10,10,4,9,13,21,14,13,22,24,-1.0271124746847,0.86572152539519,-3.84642135715734,0.00191412082226985,0.680455363005963,-3.70632963159882
"25","GB47137",36,33,33,36,26,54,26,28,18,12,28,22,0.82829285070266,2.11875436238246,3.61516226407184,0.00299488619866931,0.680455363005963,-3.39849346956608
"26","GB47337",528,307,464,611,325,697,341,489,420,310,374,303,0.474031293927931,6.00303822445276,3.64133586952462,0.00284648693670284,0.680455363005963,-2.50994785622947
"27","GB47976",75,49,61,84,54,95,98,133,101,96,143,114,-0.579722212381522,3.76497306751303,-3.45978541268893,0.00405206476163038,0.680455363005963,-2.93244266753881
"28","GB48001",5,1,9,2,3,3,5,15,10,5,18,10,-1.35868283363398,-0.102136311116641,-3.45143601479041,0.0041185355800049,0.680455363005963,-4.00630287668356
"29","GB48275",21,7,17,14,16,31,22,66,65,13,56,42,-1.12281773891036,1.96544718960616,-3.54557950638305,0.00342867101168901,0.680455363005963,-3.49079732116687
"30","GB49105",21,12,35,22,24,33,39,89,77,22,81,43,-1.09466841502481,2.45150190066308,-4.22286534806786,0.000931681081972529,0.680455363005963,-3.02859243330146
"31","GB49844",34,15,56,39,21,25,39,201,58,33,71,76,-1.10356338335234,2.772979781383,-3.50923552035829,0.00367997790052126,0.680455363005963,-3.25035492339172
"32","GB50145",79,48,83,90,63,83,95,194,122,78,158,163,-0.707000300887781,3.91006596739803,-4.34591074990701,0.000738438257060058,0.680455363005963,-2.28099320569591
"33","GB50702",17,14,30,28,10,16,22,74,35,17,55,45,-0.93736790773819,2.01317684180629,-3.45398831556777,0.0040981004976953,0.680455363005963,-3.50903821463647
"34","GB50889",37,34,49,47,22,39,58,141,97,43,75,61,-0.899231681623006,3.02138851440142,-4.71076803841381,0.00037432290933115,0.680455363005963,-2.54676755658742
"35","GB51579",230,128,155,283,117,275,157,169,150,113,160,121,0.541404749591655,4.66322210100686,3.64392309652031,0.0028322287242401,0.680455363005963,-2.51057533996998
"36","GB51735",157,84,100,186,70,180,92,97,114,59,117,59,0.653615132983218,3.98765852640676,3.73710828430586,0.00236421426464728,0.680455363005963,-2.64501614896682
"37","GB51783",3767,1066,1403,1743,2330,1447,661,1640,812,736,452,256,1.63141536643094,7.38246202922434,4.06782690640947,0.00125140543223869,0.680455363005963,-2.62673639503151
"38","GB51993",349,172,267,411,173,463,225,315,248,162,267,202,0.43229833401952,5.31218918022327,3.68875378685095,0.00259635308533782,0.680455363005963,-2.4007611599744
"39","GB52195",76,32,75,76,52,74,58,208,109,72,146,148,-0.758434877731856,3.69377163580684,-3.64804199661776,0.0028096787112552,0.680455363005963,-2.83145932653357
"40","GB52293",241,126,219,273,132,313,154,254,172,128,192,137,0.438215589491557,4.84865322024101,4.0442319161199,0.00130913037013037,0.680455363005963,-2.14194497572996
"41","GB53124",39,18,51,54,50,65,54,225,90,49,92,120,-0.994109353909282,3.29137096982872,-3.64209133452605,0.00284231606114031,0.680455363005963,-2.99152568980636
"42","GB53431",69,33,77,79,77,82,86,177,132,88,211,220,-0.971188822523719,3.91897061828729,-3.89956637845427,0.00172786921161729,0.680455363005963,-2.58611144472642
"43","GB53605",18,12,24,24,25,44,33,108,56,21,79,49,-1.07298440316955,2.41045572232527,-3.90246272901991,0.00171826671500192,0.680455363005963,-3.18237684485118
"44","GB54881",6,8,2,4,5,5,29,30,9,5,22,13,-1.57167345710946,0.470362995536851,-3.45555265165938,0.00408562614056332,0.680455363005963,-3.91394871995055
"45","GB55207",24929,5448,757,6533,3594,4981,1793,1839,807,1542,1449,860,1.97521626399656,8.59837943139511,3.45333039258123,0.00410335838226622,0.680455363005963,-3.3127871055483
"46","GB55208",14354,4784,1964,5432,6073,3333,2634,4364,1049,1537,599,814,1.94270487310902,8.69202203379404,3.52850087189817,0.0035445290111038,0.680455363005963,-3.29232085607914
"47","GB55421",84,52,70,114,49,107,55,84,56,35,76,57,0.512816926351366,3.36814881485417,3.77471253959864,0.00219834841610843,0.680455363005963,-2.86251397361391
"48","GB55443",498,267,526,751,255,471,264,478,399,238,397,244,0.537930958372018,5.85276767073723,4.04534462528542,0.00130634780450038,0.680455363005963,-2.15135833983694
"49","GB55523",51,25,60,56,38,78,51,138,87,51,102,84,-0.603413116479502,3.2796621802012,-3.48864650635102,0.00383051833170663,0.680455363005963,-3.0804310102144
"50","GB55860",19,7,33,23,30,19,23,77,58,44,90,62,-1.33508899928803,2.36248407735217,-3.96951769235403,0.00151055785828849,0.680455363005963,-3.18501921276763
