"","ID","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3","logFC","AveExpr","t","pVal","adjPVal","B"
"13","32882",6.21321582,5.447586962,5.245681607,0.802444419,0.802444419,0.802444419,2.23785174356327,3.41709049667392,39.4582317702872,1.27332646619016e-08,7.18156126931248e-05,10.6671408882158
"14","57063",5.17215966,5.211831171,6.153462673,0.802444419,0.802444419,0.802444419,2.21038049659096,3.40211888097038,38.61378528145,1.45353107275455e-08,7.6123498753117e-05,10.5278391132441
"15","16003",4.297148571,4.474495531,5.140715616,0.802444419,0.802444419,0.802444419,1.98441005447104,3.28889366649092,36.3591170319015,2.10012908266623e-08,9.623841521318e-05,9.90454023376878
"16","35456",5.375348724,6.788972743,6.257365629,0.802444419,0.802444419,0.802444419,2.35525803306597,3.47293455903139,36.4790069143152,2.05827362756427e-08,9.623841521318e-05,10.3624336990954
"17","53308",4.08008541,4.074821593,3.648803158,0.802444419,0.802444419,0.802444419,1.77308354065978,3.18375694011282,34.6297191074273,2.82907028806216e-08,0.000122016137365128,9.17694713053576
"18","32881",5.277342903,6.479509055,6.630625699,0.802444419,0.802444419,0.802444419,2.35184649592413,3.47138613455593,34.3070458336633,2.99567429821309e-08,0.000122023799747213,10.0284137875745
"19","27183",3.82347168,3.617015097,3.648803158,0.802444419,0.802444419,0.802444419,1.69376222226225,3.14454010565596,33.8778816218788,3.23525269692851e-08,0.000124846698809894,8.8052376407596
"20","24194",4.800537794,5.059964373,4.051948721,0.802444419,0.802444419,0.802444419,1.9825260156719,3.28807585557151,31.0369342509632,5.52421605241186e-08,0.000150013155912162,9.18368245850201
"21","32258",0.802444419,0.802444419,0.802444419,4.399832955,3.846316706,3.85248678,-1.78642065553508,3.19918703867729,-32.5426420751579,4.13632116508757e-08,0.000150013155912162,9.03739722717975
"22","34544",3.82347168,3.617015097,3.48353348,0.802444419,0.802444419,0.802444419,1.67414554076086,3.13476568745306,31.1999831890109,5.35027162230465e-08,0.000150013155912162,8.4484437129655
"23","38391",0.802444419,0.802444419,0.802444419,3.525391014,3.599612774,3.85248678,-1.66421180099095,3.13786882308869,-31.4303914216359,5.1152008551592e-08,0.000150013155912162,8.49883742838129
"24","41249",4.485384761,4.52711229,3.796464751,0.802444419,0.802444419,0.802444419,1.87615895313422,3.23522354545901,31.8551500362318,4.71257390514319e-08,0.000150013155912162,9.12166932209287
"25","4274",0.802444419,0.802444419,0.802444419,3.919421798,4.238497916,4.771186028,-1.87097416716848,3.24119524809398,-31.6120917897311,4.93826195701055e-08,0.000150013155912162,9.11273035755223
"26","50449",3.82347168,4.038849525,3.48353348,0.802444419,0.802444419,0.802444419,1.72302408805423,3.15822034093161,31.1280339713456,5.42623225192789e-08,0.000150013155912162,8.61479974892694
"27","54505",3.508926494,3.843760721,3.48353348,0.802444419,0.802444419,0.802444419,1.66634157312028,3.12949429083959,31.266803368248,5.28083057351406e-08,0.000150013155912162,8.41284340956674
"28","28185",5.634708559,5.868717515,7.224664714,0.802444419,0.802444419,0.802444419,2.37277746490412,3.48303774184303,30.5248997407915,6.11476267085134e-08,0.000160119428223864,9.37769370180706
"29","41718",3.82347168,3.514821475,3.48353348,0.802444419,0.802444419,0.802444419,1.66151924400788,3.12872187055182,29.8324065974279,7.03415540499322e-08,0.000177842853204863,8.24420034105253
"30","15631",3.508926494,3.404429577,3.796464751,0.802444419,0.802444419,0.802444419,1.64936876099236,3.12203904357367,29.1723796927951,8.06315613590423e-08,0.000187483908334228,8.1128909545536
"31","48952",3.82347168,3.404429577,3.648803158,0.802444419,0.802444419,0.802444419,1.66717696383131,3.13179228103111,29.1394247356568,8.11895585374459e-08,0.000187483908334228,8.18292330587339
"32","62442",3.82347168,4.21019923,3.48353348,0.802444419,0.802444419,0.802444419,1.74150986253721,3.16713057822477,29.102154465161,8.18260374617471e-08,0.000187483908334228,8.41095809111243
"33","498",6.500270914,6.654336213,6.812147246,11.03687395,11.20798119,11.229586,-0.695565978045749,5.11054931559653,-28.8746351233772,8.58395993996672e-08,0.00019071998266617,9.02589907553345
"34","15190",0.802444419,0.802444419,0.802444419,4.029452583,3.494481589,3.484529468,-1.6653319410055,3.13875179891425,-27.1070746189839,1.26177858837109e-07,0.000220270490712781,7.95520730820508
"35","19215",0.802444419,0.802444419,0.802444419,3.364437003,3.728417999,4.005527029,-1.67677290090444,3.14380476145627,-27.6103454291518,1.12792177996775e-07,0.000220270490712781,8.05997330359555
"36","19355",0.802444419,0.802444419,0.802444419,3.525391014,3.98097683,4.384823783,-1.76307940794951,3.18700086011222,-27.4416907715385,1.17085304057268e-07,0.000220270490712781,8.26513049223935
"37","22615",13.25321707,13.82993553,13.57823226,7.957926602,7.951538533,7.653165067,0.759491222608801,5.35700350076085,27.7757365988456,1.08758727661031e-07,0.000220270490712781,8.60588791480908
"38","29491",3.82347168,3.71218517,3.295618641,0.802444419,0.802444419,0.802444419,1.66224731216515,3.12864176532749,27.4154043269506,1.17771393037831e-07,0.000220270490712781,7.93241825000016
"39","32868",4.651633371,4.869919453,3.796464751,0.802444419,0.802444419,0.802444419,1.92418070403872,3.25897281293546,27.1541253604386,1.24851049639114e-07,0.000220270490712781,8.45469557412046
"40","3877",0.802444419,0.802444419,0.802444419,3.669489075,3.340484327,3.680652147,-1.62894862674304,3.12094055410572,-28.0037167371417,1.03470369441427e-07,0.000220270490712781,7.95715215996244
"41","40610",4.297148571,3.617015097,3.648803158,0.802444419,0.802444419,0.802444419,1.74169862862477,3.16953791936151,27.1263727226561,1.25631689483106e-07,0.000220270490712781,8.13200709312745
"42","64743",10.77120102,11.16033993,10.90993055,8.25500249,8.343129736,8.237476985,0.391718194405605,5.24488296863142,27.1352351169799,1.25381789078918e-07,0.000220270490712781,8.43895193960141
"43","61242",3.508926494,4.391737343,4.455765278,0.802444419,0.802444419,0.802444419,1.83071343397929,3.21057120188025,26.8065100655872,1.35050818243549e-07,0.000230277348688767,8.25135633880207
"44","70531",13.11270631,13.19961059,13.36031427,7.574433328,7.632222836,7.051887535,0.801489009344085,5.30112868634999,26.6008599482932,1.41540123266742e-07,0.000235857314498126,8.38406901678483
"45","55706",11.99323272,12.2046055,12.11233847,8.858616699,8.593878745,8.908354284,0.450117172471643,5.3548904945869,26.1673623350922,1.56443491286579e-07,0.000254898595136266,8.07757764972615
"46","8269",0.802444419,0.802444419,0.802444419,3.525391014,3.299105444,3.255648587,-1.55684923764716,3.08410120119478,-25.8507553963807,1.68485377889576e-07,0.000268551041453559,7.3845376543751
"47","62787",3.82347168,5.04205395,4.051948721,0.802444419,0.802444419,0.802444419,1.88661614286376,3.23830862431219,25.6850049490922,1.7521738826527e-07,0.00027333912569382,8.12624232415747
"48","39711",9.310059377,9.510009575,9.315217941,5.449142901,5.131555437,5.141950986,0.792622162320139,4.83202567643476,25.1426754316013,1.99532824462186e-07,0.00029908827004454,8.21756098246385
"49","6397",0.802444419,0.802444419,0.802444419,3.669489075,3.299105444,3.255648587,-1.57339235857501,3.09255814771881,-25.020919868573,2.05517698607119e-07,0.00029908827004454,7.32984039717924
"50","7029",11.51195244,11.95784953,11.85583493,8.865959907,8.912586901,8.964720644,0.391960224386981,5.34569526608819,25.0525177441691,2.03944709811009e-07,0.00029908827004454,7.76997701660462
