"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"22","GB48306",52,23,23,58,95,44,85,77,55,61,135,85,-1.05571782542136,3.18900495626401,-4.5603555991849,0.000477443318735783,0.163347693730922,-0.0196287542891893
"23","GB48567",22,15,16,25,61,33,55,47,31,27,92,51,-1.08738390129684,2.42520550756005,-4.28247851830821,0.000807263386646731,0.163347693730922,-0.583691480823981
"24","GB48940",311,160,214,320,547,305,444,468,299,257,542,338,-0.650897895318895,5.66747944902491,-4.20835453803595,0.000929938462293651,0.163347693730922,-0.463896159729561
"25","GB49040",409,332,267,481,494,345,506,567,315,338,525,562,-0.527161454196405,6.0010788149487,-4.22853082800667,0.000894761727583376,0.163347693730922,-0.428029978786268
"26","GB49150",36,21,15,45,66,51,61,67,38,44,86,50,-0.872277366792332,2.77206278656366,-4.25042185338976,0.000858137603750654,0.163347693730922,-0.558248030229936
"27","GB49402",287,320,185,395,422,326,213,283,144,105,214,165,0.551324284242553,5.18459986615078,4.33918871466537,0.000724724049936226,0.163347693730922,-0.236535865026013
"28","GB49757",136,129,80,224,244,176,90,108,38,35,123,76,0.849482643431593,4.01017960426351,4.93598070254641,0.000238115965114356,0.163347693730922,0.682740818123572
"29","GB50039",944,909,758,1159,1195,1400,601,872,361,490,818,394,0.650574244206586,6.87183899226017,4.48387581845279,0.000551229483924146,0.163347693730922,0.000648171230766437
"30","GB50156",854,695,630,1157,1239,715,1278,1435,884,1118,1766,1782,-0.914341497547746,7.35971247453332,-5.75385898503792,5.57928179655167e-05,0.163347693730922,1.9540650751343
"31","GB50602",138,110,93,177,242,150,211,205,147,167,228,237,-0.664226730626459,4.69948386380823,-4.48971198216195,0.000545204913318646,0.163347693730922,0.0167043918842973
"32","GB50732",27,38,28,53,72,52,55,79,44,47,85,65,-0.735970757838893,2.97591847227447,-4.23013993651872,0.000892015793386968,0.163347693730922,-0.553267233292091
"33","GB50906",4326,5144,5303,5981,5480,5467,3383,3591,2264,1934,3007,1803,0.78557103409943,9.14350869735116,4.22791753794804,0.000895810586745599,0.163347693730922,-0.489196153228115
"34","GB51623",404,391,341,563,562,494,361,402,192,202,354,250,0.427216436983503,5.77850937802174,4.74550643560991,0.000338111062402914,0.163347693730922,0.454051652938582
"35","GB51691",502,478,482,612,666,729,414,509,199,264,410,327,0.508161796567148,6.07848805927309,4.34668750857139,0.000714479067147508,0.163347693730922,-0.223728983035094
"36","GB52248",16,4,16,17,27,12,32,37,21,26,48,32,-1.42610878882268,1.7025887463234,-4.98261995716282,0.000218679465949482,0.163347693730922,0.0884963921642266
"37","GB53120",802,1468,807,1109,948,573,402,634,263,220,295,116,1.46989907772611,6.28705561582348,4.36090763767833,0.000695458604235361,0.163347693730922,-0.201706212739276
"38","GB53201",950,1039,550,1321,1211,1673,595,631,397,462,610,338,0.841982284188368,6.79948208425935,4.46339107848758,0.000572924577825832,0.163347693730922,-0.0325105396138259
"39","GB53318",121,43,137,133,101,83,182,236,376,299,274,337,-1.78712475873682,4.65422947351635,-4.83901176753416,0.00028448643561411,0.163347693730922,0.577262942655629
"40","GB53335",107,98,79,165,196,142,76,97,52,58,100,66,0.551424755775882,3.88107346585767,4.62729407258461,0.000421247534883694,0.163347693730922,0.189159351771044
"41","GB53656",575,737,560,973,967,1000,583,656,322,306,542,298,0.614542565071972,6.47273399403352,4.34207636401087,0.00072076111178405,0.163347693730922,-0.233204141180273
"42","GB53742",235,193,141,277,317,230,129,210,69,83,184,132,0.571625237777276,4.6917222492374,4.64763431094052,0.000405561884709954,0.163347693730922,0.278567251256218
"43","GB53849",129,97,103,174,179,126,160,206,142,146,210,200,-0.64616440355515,4.54640667438932,-4.50154154997369,0.000533200947045758,0.163347693730922,0.032709440308806
"44","GB53918",345,391,362,621,513,651,209,342,161,257,304,152,0.795516017572298,5.64553748872172,4.2468388954999,0.000864024895157547,0.163347693730922,-0.396060813489918
"45","GB54148",111,151,107,209,204,273,59,87,43,83,75,31,1.26201353645434,3.93774908134803,5.10216942566255,0.00017602588335786,0.163347693730922,0.914630970195146
"46","GB54254",298,299,256,569,530,367,273,340,152,140,279,182,0.512467341710034,5.4416527549638,4.54216818220493,0.000494011732241421,0.163347693730922,0.111201310222276
"47","GB54255",418,464,351,621,601,519,301,401,168,171,383,175,0.716306196135626,5.74096343809915,5.68673357313063,6.26335021157468e-05,0.163347693730922,1.95485721455652
"48","GB55009",121,117,95,153,187,153,183,209,103,104,186,181,-0.459074849918922,4.47683679301465,-4.25389536134478,0.000852469490227511,0.163347693730922,-0.386302383490166
"49","GB55202",18,32,30,45,65,31,7,19,11,11,15,9,1.33049403658201,1.64273308827863,4.49416702473982,0.000540651793636755,0.163347693730922,-0.545067963864047
"50","GB55680",2665,3096,1945,4898,3694,4673,1740,2150,1187,1474,2320,1101,0.792796707475366,8.47110437402987,4.4466669301541,0.00059128892086038,0.163347693730922,-0.111013346232344
